# ----------------------------------------
# 1 Master View
# Users And Pageviews
# 20190101-20190131
# ----------------------------------------

Date,Users,Pageviews
20190130,157,951
20190129,147,867
20190114,134,995
20190107,126,818
20190125,117,636
20190109,116,800
20190110,116,782
20190117,114,905
20190124,113,771
20190123,109,716
20190108,108,584
20190128,106,650
20190122,104,672
20190111,102,584
20190102,98,521
20190131,92,529
20190115,91,622
20190104,88,572
20190103,82,467
20190116,71,561
20190127,69,315
20190118,68,474
20190112,64,532
20190126,62,361
20190113,52,397
20190121,52,240
20190106,51,391
20190105,49,411
20190119,45,318
20190101,36,221
20190120,35,199
,"2,774","17,862"

Day Index,Users
1/1/19,36
1/2/19,98
1/3/19,82
1/4/19,88
1/5/19,49
1/6/19,51
1/7/19,126
1/8/19,108
1/9/19,116
1/10/19,116
1/11/19,102
1/12/19,64
1/13/19,52
1/14/19,134
1/15/19,91
1/16/19,71
1/17/19,114
1/18/19,68
1/19/19,45
1/20/19,35
1/21/19,52
1/22/19,104
1/23/19,109
1/24/19,113
1/25/19,117
1/26/19,62
1/27/19,69
1/28/19,106
1/29/19,147
1/30/19,157
1/31/19,92
,"2,774"
